timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687790284,1414,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,342172,284,10,10,null,0,3,54
1666687790285,1414,HTTP Request,200,OK,Thread Group 1-3,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,105,0,54
1666687790285,105,HTTP Request-0,301,TLS Redirect,Thread Group 1-3,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,105,0,54
1666687790391,1308,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,1017,0,955
1666687790976,791,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,342172,284,10,10,null,0,1,56
1666687790977,791,HTTP Request,200,OK,Thread Group 1-10,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,115,0,56
1666687790977,115,HTTP Request-0,301,TLS Redirect,Thread Group 1-10,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,115,0,56
1666687791093,675,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,387,0,262
1666687790878,894,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,342172,284,10,10,null,0,1,51
1666687790879,894,HTTP Request,200,OK,Thread Group 1-9,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,109,0,51
1666687790879,109,HTTP Request-0,301,TLS Redirect,Thread Group 1-9,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,109,0,51
1666687790990,783,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,492,0,365
1666687790682,1113,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,342172,284,10,10,null,0,2,57
1666687790683,1113,HTTP Request,200,OK,Thread Group 1-7,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,107,0,57
1666687790683,107,HTTP Request-0,301,TLS Redirect,Thread Group 1-7,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,107,0,57
1666687790792,1004,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,691,0,564
1666687790384,1415,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,342172,284,10,10,null,0,2,53
1666687790386,1415,HTTP Request,200,OK,Thread Group 1-4,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,106,0,53
1666687790386,106,HTTP Request-0,301,TLS Redirect,Thread Group 1-4,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,106,0,53
1666687790494,1307,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,985,0,862
1666687790097,1603,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,342172,284,10,10,null,0,103,90
1666687790200,1603,HTTP Request,200,OK,Thread Group 1-1,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,151,0,90
1666687790200,154,HTTP Request-0,301,TLS Redirect,Thread Group 1-1,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,151,0,90
1666687790357,1446,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,1125,0,999
1666687790483,1321,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,342172,284,10,10,null,0,1,53
1666687790484,1321,HTTP Request,200,OK,Thread Group 1-5,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,119,0,53
1666687790484,119,HTTP Request-0,301,TLS Redirect,Thread Group 1-5,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,119,0,53
